classifier,repeat,fold,train_n,test_n,source_group_overlap,raw_auc,symmetric_auc,seed,mean_fold_symmetric_auc
gradient_boosting,2,2,148,37,0,1.0,1.0,12015,
gradient_boosting,2,3,148,37,0,1.0,1.0,12015,
gradient_boosting,2,4,148,37,0,1.0,1.0,12015,
gradient_boosting,2,5,148,37,0,0.9926900584795322,0.9926900584795322,12015,
gradient_boosting,2,ALL_OOF,,185,0,0.9981879822305354,0.9981879822305354,12015,0.9985380116959064
gradient_boosting,3,1,148,37,0,0.9941520467836258,0.9941520467836258,12016,
gradient_boosting,3,2,148,37,0,1.0,1.0,12016,
gradient_boosting,3,3,148,37,0,1.0,1.0,12016,
gradient_boosting,3,4,148,37,0,0.9941520467836258,0.9941520467836258,12016,
gradient_boosting,3,5,148,37,0,0.9883040935672515,0.9883040935672515,12016,
gradient_boosting,3,ALL_OOF,,185,0,0.9952069207388357,0.9952069207388357,12016,0.9953216374269005
gradient_boosting,4,1,148,37,0,1.0,1.0,12017,
gradient_boosting,4,2,148,37,0,0.9999999999999999,0.9999999999999999,12017,
gradient_boosting,4,3,148,37,0,0.9195906432748538,0.9195906432748538,12017,
gradient_boosting,4,4,148,37,0,0.9663742690058479,0.9663742690058479,12017,
gradient_boosting,4,5,148,37,0,0.9970760233918128,0.9970760233918128,12017,
gradient_boosting,4,ALL_OOF,,185,0,0.9780804302080899,0.9780804302080899,12017,0.9766081871345029
gradient_boosting,5,1,148,37,0,0.9649122807017544,0.9649122807017544,12018,
gradient_boosting,5,2,148,37,0,1.0,1.0,12018,
gradient_boosting,5,3,148,37,0,1.0,1.0,12018,
gradient_boosting,5,4,148,37,0,1.0,1.0,12018,
gradient_boosting,5,5,148,37,0,0.9473684210526315,0.9473684210526315,12018,
gradient_boosting,5,ALL_OOF,,185,0,0.9715337853635727,0.9715337853635727,12018,0.9824561403508772
gradient_boosting,6,1,148,37,0,1.0,1.0,12019,
gradient_boosting,6,2,148,37,0,1.0,1.0,12019,
gradient_boosting,6,3,148,37,0,1.0,1.0,12019,
gradient_boosting,6,4,148,37,0,1.0,1.0,12019,
gradient_boosting,6,5,148,37,0,1.0,1.0,12019,
gradient_boosting,6,ALL_OOF,,185,0,0.9990647650222119,0.9990647650222119,12019,1.0
gradient_boosting,7,1,148,37,0,1.0,1.0,12020,
gradient_boosting,7,2,148,37,0,0.9970760233918128,0.9970760233918128,12020,
gradient_boosting,7,3,148,37,0,0.9970760233918128,0.9970760233918128,12020,
gradient_boosting,7,4,148,37,0,1.0,1.0,12020,
gradient_boosting,7,5,148,37,0,0.9093567251461989,0.9093567251461989,12020,
gradient_boosting,7,ALL_OOF,,185,0,0.9765022211830724,0.9765022211830724,12020,0.9807017543859649
gradient_boosting,8,1,148,37,0,0.9970760233918129,0.9970760233918129,12021,
gradient_boosting,8,2,148,37,0,1.0,1.0,12021,
gradient_boosting,8,3,148,37,0,0.9649122807017544,0.9649122807017544,12021,
gradient_boosting,8,4,148,37,0,1.0,1.0,12021,
gradient_boosting,8,5,148,37,0,0.9941520467836258,0.9941520467836258,12021,
gradient_boosting,8,ALL_OOF,,185,0,0.9864975450081834,0.9864975450081834,12021,0.9912280701754386
gradient_boosting,9,1,148,37,0,0.9444444444444444,0.9444444444444444,12022,
gradient_boosting,9,2,148,37,0,1.0,1.0,12022,
gradient_boosting,9,3,148,37,0,1.0,1.0,12022,
gradient_boosting,9,4,148,37,0,1.0,1.0,12022,
gradient_boosting,9,5,148,37,0,1.0,1.0,12022,
gradient_boosting,9,ALL_OOF,,185,0,0.9801262567220015,0.9801262567220015,12022,0.9888888888888889
